rtt_ms,bw_mbit,loss_pct,buf_bytes,bbrv2_sender_mbps,bbrv2_receiver_mbps,bbrv3_sender_mbps,bbrv3_receiver_mbps,sender_diff_mbps,sender_diff_pct,receiver_diff_mbps,receiver_diff_pct,winner
10,1000,1,10000000,880.952747,880.427723,691.119013,690.215830,-189.833734,-21.548685,-190.211894,-21.604487,bbrv2
10,1000,1,50000000,876.566303,875.882398,652.960365,652.259871,-223.605939,-25.509301,-223.622528,-25.531113,bbrv2
10,1000,1,100000000,879.562192,878.884131,684.024166,683.172426,-195.538025,-22.231290,-195.711705,-22.268203,bbrv2
10,1000,2,100000,137.027511,136.576822,17.877592,17.515695,-119.149918,-86.953282,-119.061126,-87.175207,bbrv2
10,1000,2,2000000,824.932767,824.511827,33.081384,32.656431,-791.851383,-95.989809,-791.855396,-96.039301,bbrv2
10,1000,2,10000000,820.293736,819.841238,22.543628,22.160892,-797.750107,-97.251761,-797.680346,-97.296929,bbrv2
10,1000,2,50000000,821.202337,820.801962,19.869885,19.559121,-801.332452,-97.580391,-801.242841,-97.617072,bbrv2
10,1000,2,100000000,815.286011,814.734049,31.456255,30.927899,-783.829757,-96.141691,-783.806150,-96.203927,bbrv2
100,25,0,100000,14.924283,14.445426,13.613576,13.165113,-1.310707,-8.782379,-1.280313,-8.863102,bbrv2
100,25,0,2000000,23.487339,23.097207,23.697073,23.156210,0.209734,0.892965,0.059003,0.255456,bbrv3
100,25,0,10000000,23.662147,23.219075,23.662182,23.173856,0.000035,0.000148,-0.045219,-0.194748,bbrv2
100,25,0,50000000,23.662150,23.219583,23.819355,23.347286,0.157205,0.664373,0.127703,0.549982,bbrv3
100,25,0,100000000,23.662165,23.230088,23.644626,23.173633,-0.017539,-0.074123,-0.056455,-0.243026,bbrv2
100,25,1,100000,14.801969,14.323475,12.058136,11.630302,-2.743833,-18.536948,-2.693172,-18.802507,bbrv2
100,25,1,2000000,23.469961,22.975568,19.817437,19.442319,-3.652523,-15.562546,-3.533249,-15.378287,bbrv2
